Rynek pierwotny;;;;;;;;;;;;;;;;;;;;;;;Rynek pierwotny;;;;;;;;;;;;;;;;;;;;;;;;;;;
Primary market;;;;;;;;;;;;;;;;;;;;;;;Primary market;;;;;;;;;;;;;;;;;;;;;;;;;;;
PLN/1 sq.m;;;;;;;;;;;;;;;;;;;;;;;PLN/1 sq.m;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Ceny ofertowe;;;;;;;;;;;;;;;;;średnia;;;;;Ceny transakcyjne;;;;;;;;;;;;;;;;;;średnia ;;;;;;;;;
;Offer prices;;;;;;;;;;;;;;;;;mean;;;;;Transaction prices;;;;;;;;;;;;;;;;;;mean;;;;;;;;;
;;;;;;;;;;;;;;;;;;7 cities;10 cities;6 cities (without Warszawa);;;;;;;;;;;;;;;;;;;;;7 cities;10 cities;6 cities (without Warszawa);;;;;;;
Kwartał;Białystok;Bydgoszcz;Gdańsk;Gdynia;Katowice;Kielce;Kraków;Lublin;Łódź;Olsztyn;Opole;Poznań;Rzeszów;Szczecin;Warszawa;Wrocław;Zielona Góra;7 miast;10 miast;6 miast bez Warszawy;9 miast;;Kwartał;Białystok;Bydgoszcz;Gdańsk;Gdynia*;Katowice;Kielce;Kraków;Lublin;Łódź;Olsztyn;Opole;Poznań;Rzeszów;Szczecin;Warszawa;Wrocław;Zielona Góra;7 miast;10 miast;6 miast bez Warszawy;9 miast;;;;;;
IV 2014;4 909;5 149;6 289;6 005;5 545;4 750;6 491;5 005;4 861;4 942;4 772;6 546;5 034;4 892;7 691;6 075;3 784;6 599;4 979;5 994;;;IV 2014;4 570;4 618;5 785;5 877;4 907;4 602;5 722;4 967;4 656;4 736;4 651;6 225;4 709;4 841;7 315;5 793;3 750;6 213;4 709;5 605;;;;;;;
I 2015;4 881;5 200;6 492;6 201;5 630;4 856;6 565;5 008;4 863;4 971;4 802;6 600;5 245;4 955;7 839;5 964;3 808;6 694;5 025;6 054;;;I 2015;4 526;4 619;5 951;5 778;4 795;4 736;5 861;4 920;4 578;4 724;4 727;6 307;4 857;4 779;7 396;5 988;3 647;6 307;4 694;5 694;;;;;;;
II 2015;4 838;5 092;6 671;6 357;5 632;4 844;6 720;4 966;4 906;4 799;4 801;6 527;5 082;4 813;7 872;6 077;3 813;6 757;4 948;6 136;;;II 2015;4 606;4 720;5 749;6 162;4 898;4 507;5 896;4 980;4 687;4 807;4 427;6 209;4 990;4 822;7 510;6 068;3 743;6 352;4 717;5 707;;;;;;;
III 2015;4 790;5 121;6 416;6 584;5 509;4 783;6 658;5 108;4 881;4 747;4 781;6 482;5 038;4 851;7 807;6 135;3 835;6 710;4 950;6 098;;;III 2015;4 613;4 745;6 089;6 710;5 003;4 549;6 312;5 017;4 676;4 617;4 429;6 228;4 596;4 696;7 557;6 044;3 749;6 486;4 699;5 893;;;;;;;
IV 2015;4 886;5 088;6 488;6 265;5 511;4 878;6 525;5 172;4 831;4 848;4 599;6 512;5 126;4 815;7 789;6 245;3 870;6 684;4 976;6 067;;;IV 2015;4 519;4 819;6 031;6 334;5 049;4 620;6 357;4 913;4 697;4 764;4 366;6 234;4 868;4 609;7 462;6 109;3 785;6 458;4 708;5 886;;;;;;;
I 2016;4 850;5 148;6 636;6 506;5 424;4 838;6 524;5 050;4 773;4 806;4 577;6 425;4 986;4 873;7 878;6 190;3 873;6 731;4 948;6 076;;;I 2016;4 594;4 831;6 452;6 209;5 030;4 710;6 239;4 995;4 738;4 737;4 369;6 246;4 806;4 670;7 639;5 993;3 777;6 523;4 738;5 889;;;;;;;
II 2016;4 832;5 153;6 581;6 964;5 372;4 833;6 670;5 095;4 894;4 788;4 641;6 458;5 013;4 885;7 649;6 201;3 880;6 694;4 948;6 141;;;II 2016;4 615;4 834;6 185;6 391;4 868;4 685;6 343;5 035;4 646;4 729;4 350;6 298;4 852;4 832;7 583;6 218;3 781;6 520;4 748;5 917;;;;;;;
III 2016;4 684;5 246;6 536;6 949;5 365;4 686;6 526;5 244;4 900;5 174;4 488;6 453;4 952;4 871;7 772;6 335;3 880;6 774;4 967;6 202;;;III 2016;4 596;4 954;6 283;6 631;5 173;4 581;6 298;4 976;4 727;4 935;4 432;6 195;5 019;4 793;7 696;6 162;3 836;6 578;4 817;5 951;;;;;;;
IV 2016;4 707;5 250;6 550;6 842;5 293;4 679;6 711;5 202;5 110;5 559;4 501;6 403;4 842;4 875;7 638;6 443;3 891;6 796;4 976;6 324;;;IV 2016;4 505;4 852;6 481;6 975;5 038;4 559;6 451;5 212;4 850;4 991;4 686;6 304;5 036;4 823;7 686;6 163;3 858;6 662;4 825;6 075;;;;;;;
I 2017;4 844;5 289;6 462;6 870;5 362;4 677;6 619;5 123;4 943;5 566;4 691;6 429;4 811;5 052;7 707;6 460;3 890;6 781;5 030;6 295;;;I 2017;4 612;4 971;6 430;6 710;5 114;4 614;6 373;5 095;4 792;4 899;4 529;6 263;4 801;4 694;7 562;6 136;3 851;6 576;4 803;6 027;;;;;;;
